Core,X,Y,Tiefe mm,Y,Moving average 5 mm
KLOP17-01,121.5,70.762,32.4,70.762,82.49194444
KLOP17-01,121.8,66.92,32.7,66.92,82.73555556
KLOP17-01,122.1,67.095,33,67.095,83.61738889
KLOP17-01,122.4,66.651,33.3,66.651,84.96322222
KLOP17-01,122.7,66.735,33.6,66.735,86.77938889
KLOP17-01,123,69.036,33.9,69.036,88.83055556
KLOP17-01,123.3,76.128,34.2,76.128,90.73694444
KLOP17-01,123.6,87.464,34.5,87.464,92.15688889
KLOP17-01,123.9,100.56,34.8,100.56,93.09011111
KLOP17-01,124.2,110.688,35.1,110.688,93.748
KLOP17-01,124.5,115.969,35.4,115.969,94.39155556
KLOP17-01,124.8,118.856,35.7,118.856,95.44711111
KLOP17-01,125.1,119.805,36,119.805,97.33088889
KLOP17-01,125.4,118.851,36.3,118.851,99.93716667
KLOP17-01,125.7,115.548,36.6,115.548,102.8158333
KLOP17-01,126,109.564,36.9,109.564,105.3507222
KLOP17-01,126.3,101.997,37.2,101.997,107.2300556
KLOP17-01,126.6,92.993,37.5,92.993,108.3074444
KLOP17-01,126.9,82.604,37.8,82.604,108.6150556
KLOP17-01,127.2,78.504,38.1,78.504,108.2505
KLOP17-01,127.5,86.095,38.4,86.095,107.3201111
KLOP17-01,127.8,100.559,38.7,100.559,105.9226667
KLOP17-01,128.1,113.648,39,113.648,104.1242778
KLOP17-01,128.4,120.852,39.3,120.852,102.0212222
KLOP17-01,128.7,121.756,39.6,121.756,99.73605556
KLOP17-01,129,121.292,39.9,121.292,97.3545
KLOP17-01,129.3,119.953,40.2,119.953,94.94588889
KLOP17-01,129.6,116.225,40.5,116.225,92.54833333
KLOP17-01,129.9,109.407,40.8,109.407,89.9335
KLOP17-01,130.2,102.109,41.1,102.109,86.7105
KLOP17-01,130.5,94.651,41.4,94.651,82.78083333
KLOP17-01,130.8,86.48,41.7,86.48,78.42644444
KLOP17-01,131.1,77.693,42,77.693,74.02316667
KLOP17-01,131.4,68.431,42.3,68.431,69.81877778
KLOP17-01,131.7,59.129,42.6,59.129,65.74438889
KLOP17-01,132,49.638,42.9,49.638,61.67377778
KLOP17-01,132.3,39.448,43.2,39.448,57.519
KLOP17-01,132.6,31.437,43.5,31.437,53.32683333
KLOP17-01,132.9,28.081,43.8,28.081,49.117
KLOP17-01,133.2,29.825,44.1,29.825,45.02888889
KLOP17-01,133.5,35.269,44.4,35.269,41.25722222
